Name,Salary,Designation,Age,Gender,Owns Car
Claire,88962,Manager,35,Female,Yes
Darrin,67659,Team Lead,26,Male,No
Sean,117501,Manager,36,Male,Yes
Brosina,149957,Senior Manager,44,Female,Yes
Andrew,32212,Team Lead,33,Male,Yes
Irene,63391,Team Lead,33,Female,Yes
Harold,14438,Developer,23,Male,No
Pete,22445,Developer,22,Male,No
Alejandro,72287,Team Lead,35,Male,Yes
Zuschuss,195588,Managing Director,53,Male,Yes
Ken,17240,Developer,25,Male,Yes
Sandra,115116,Manager,41,Female,No
Emily,18027,Developer,24,Female,Yes
Eric,55891,Team Lead,31,Male,No
Tracy,109132,Manager,34,Female,Yes
Matt,83327,Manager,43,Male,Yes
Gene,22125,Developer,22,Female,No
Steve,29324,Team Lead,29,Male,Yes
Linda,54003,Team Lead,35,Female,Yes
Ruben,18390,Developer,25,Male,No
Ross,141401,Senior Manager,47,Male,No
Om,19593,Developer,22,Male,No
Patrick,57093,Team Lead,26,Male,Yes
Lena,130556,Senior Manager,52,Female,Yes
Darren,22093,Developer,25,Male,Yes
Jack,13058,Developer,25,Male,Yes
Ted,26180,Team Lead,27,Male,Yes
Kunst,23259,Developer,24,Male,No
Paul,34248,Team Lead,27,Male,Yes
Brendan,27416,Team Lead,30,Male,Yes
